"marker","subgenome","chr","pos_cm"
"A1_m01","A","A1",0
"A1_m02","A","A1",8
"A1_m03","A","A1",16
"A1_m04","A","A1",24
"A1_m05","A","A1",32
"A1_m06","A","A1",40
"A1_m07","A","A1",48
"A1_m08","A","A1",56
"A1_m09","A","A1",64
"A1_m10","A","A1",72
"A1_m11","A","A1",80
"A1_m12","A","A1",88
"A2_m01","A","A2",0
"A2_m02","A","A2",8
"A2_m03","A","A2",16
"A2_m04","A","A2",24
"A2_m05","A","A2",32
"A2_m06","A","A2",40
"A2_m07","A","A2",48
"A2_m08","A","A2",56
"A2_m09","A","A2",64
"A2_m10","A","A2",72
"A2_m11","A","A2",80
"A2_m12","A","A2",88
"B1_m01","B","B1",0
"B1_m02","B","B1",8
"B1_m03","B","B1",16
"B1_m04","B","B1",24
"B1_m05","B","B1",32
"B1_m06","B","B1",40
"B1_m07","B","B1",48
"B1_m08","B","B1",56
"B1_m09","B","B1",64
"B1_m10","B","B1",72
"B1_m11","B","B1",80
"B1_m12","B","B1",88
"B2_m01","B","B2",0
"B2_m02","B","B2",8
"B2_m03","B","B2",16
"B2_m04","B","B2",24
"B2_m05","B","B2",32
"B2_m06","B","B2",40
"B2_m07","B","B2",48
"B2_m08","B","B2",56
"B2_m09","B","B2",64
"B2_m10","B","B2",72
"B2_m11","B","B2",80
"B2_m12","B","B2",88
